method,seed,top_1pct,best
price_rl,0,2.203616878767582,1.0
delta_cs,0,1.5231078365706632,1.0
price_dcs_hybrid,0,2.1634293369055593,1.0
price_rl,1,2.186202277294039,1.0
delta_cs,1,1.3261888814467515,1.0
price_dcs_hybrid,1,2.1902210314802413,1.0
price_rl,2,2.336235766912257,1.0
delta_cs,2,1.349631614199598,1.0
price_dcs_hybrid,2,2.330877427997321,1.0
price_rl,3,2.2384460817146685,1.0
delta_cs,3,1.405224380442063,1.0
price_dcs_hybrid,3,2.2270596115204286,1.0
price_rl,4,2.204956463496316,1.0
delta_cs,4,1.1821835231078366,1.0
price_dcs_hybrid,4,2.2103148024112524,1.0
