K,seed,tight_05_H,tight_10_H,mean_err_H,best,cos_T1_min,final_H,final_H_star
0,0,0.3333333333333333,0.3333333333333333,0.18569344517091968,0.8046044441036404,0.9999998807907104,0.22215203940868378,0.480057748792047
0,1,0.0,0.3333333333333333,0.2715952363814917,0.8306482644136335,0.9999998807907104,0.16351088881492615,0.6933415735498932
0,2,0.16666666666666666,0.6666666666666666,0.16037038522422997,0.8109539333451311,0.9999998807907104,0.09346387535333633,0.3090156974258188
0,3,0.16666666666666666,0.16666666666666666,0.41472656560434157,0.8018577652725138,0.9999998807907104,0.11577501147985458,0.9241962407465938
0,4,0.0,0.0,0.47484172390531953,0.7402642258008608,0.9999998807907104,0.07979943603277206,0.9241962407465938
3,0,0.3333333333333333,0.3333333333333333,0.12124746935016541,0.7769431152590878,0.9999999403953552,0.22931113839149475,0.46626005432254714
3,1,0.3333333333333333,0.3333333333333333,0.19561913213059534,0.7784232357222177,0.9999998807907104,0.1191132515668869,0.28900787618205415
3,2,0.0,0.16666666666666666,0.18465798277529968,0.7844193391194217,0.9999998211860657,0.25416022539138794,0.3894028942381774
3,3,0.16666666666666666,0.5,0.27116819717444535,0.7749746009443996,0.9999998807907104,0.09376363456249237,0.20363736676705813
3,4,0.0,0.0,0.39340537770903566,0.7670932880337402,0.9999998807907104,0.13577136397361755,1.0880030321981555
5,0,0.0,0.16666666666666666,0.300391836288343,0.7657210090599846,0.9999999403953552,0.08636774122714996,0.6716091235950017
5,1,0.16666666666666666,0.16666666666666666,0.36435915056018553,0.7498729535416897,0.9999998807907104,0.07154099643230438,1.0314553334916643
5,2,0.16666666666666666,0.3333333333333333,0.18607626795586718,0.7702027762697387,0.9999998807907104,0.12802501022815704,0.16046324193793612
5,3,0.0,0.0,0.48872185596152135,0.7742074976924687,0.9999998807907104,0.04727581888437271,0.9960854834219203
5,4,0.16666666666666666,0.16666666666666666,0.3084094379442027,0.710743962698921,0.9999998807907104,0.14332136511802673,0.8149504479629495
10,0,0.0,0.0,0.45372928249518457,0.7466454698210037,0.9999998211860657,0.05338718742132187,0.7774842390351584
10,1,0.0,0.3333333333333333,0.2591763261686371,0.6997574949159682,0.9999999403953552,0.07543053478002548,0.7130416810318388
10,2,0.0,0.0,0.35107312001788166,0.6801444755947197,0.9999997615814209,0.09050117433071136,1.0358194000110006
10,3,0.0,0.0,0.41792894711230427,0.7125672333863713,0.9999999403953552,0.05193517729640007,1.162244632516349
10,4,0.0,0.0,0.6280332228368798,0.7160179437490026,0.9999998807907104,0.03450743854045868,1.2328684299151695
15,0,0.0,0.16666666666666666,0.4464203037986456,0.7082958220941685,0.9999998807907104,0.15300406515598297,0.9933932400955567
15,1,0.0,0.0,0.49540463683541924,0.6855210941641192,0.9999997615814209,0.06480035185813904,0.9241962407465938
15,2,0.0,0.0,0.4358302524276543,0.7034036682539799,0.9999998211860657,0.05462201312184334,0.5766780346053105
15,3,0.0,0.0,0.46275748411074774,0.7049778000830902,0.9999998807907104,0.03415880352258682,0.9241962407465938
15,4,0.0,0.0,0.3721546746163958,0.7411414373531888,0.9999997615814209,0.25076887011528015,0.9618827060852638
19,0,0.0,0.0,0.30330179580478306,0.6911290541989087,0.9999998211860657,0.25611963868141174,0.44925620268257666
19,1,0.0,0.0,0.45687971023282054,0.718121709389429,0.9999998807907104,0.10907313972711563,1.173166579644318
19,2,0.16666666666666666,0.16666666666666666,0.31524842440508777,0.7622837999721248,0.9999999403953552,0.1305939257144928,0.9241962407465938
19,3,0.0,0.0,0.4919283114457032,0.7175450784265794,0.9999998807907104,0.04332731291651726,0.8361501004518466
19,4,0.0,0.0,0.41890256170987467,0.6905039878556569,0.9999998807907104,0.20968031883239746,1.3122013124298042
