best,cos_T1_min,dataset,method,seed,top_1pct
1.0,,TEM1_Stiffler2015,adalead,0,67.57142857142857
1.0,0.9999995827674866,TEM1_Stiffler2015,price_rl_local,0,29.367346938775512
1.0,,TEM1_Stiffler2015,adalead,1,68.85714285714286
1.0,0.9999996423721313,TEM1_Stiffler2015,price_rl_local,1,35.08163265306123
1.0,,TEM1_Stiffler2015,adalead,2,68.12244897959184
1.0,0.9999996423721313,TEM1_Stiffler2015,price_rl_local,2,27.959183673469386
1.0,,TEM1_Stiffler2015,adalead,3,56.59183673469388
1.0,0.9999997019767761,TEM1_Stiffler2015,price_rl_local,3,37.734693877551024
1.0,,TEM1_Stiffler2015,adalead,4,67.6734693877551
1.0,0.9999995827674866,TEM1_Stiffler2015,price_rl_local,4,36.40816326530612
1.0,,Enhancer_BCL11A,adalead,0,202.58823529411765
1.0,0.9999997019767761,Enhancer_BCL11A,price_rl_local,0,136.58823529411765
1.0,,Enhancer_BCL11A,adalead,1,202.8235294117647
1.0,0.9999995827674866,Enhancer_BCL11A,price_rl_local,1,148.47058823529412
1.0,,Enhancer_BCL11A,adalead,2,202.52941176470588
1.0,0.9999998211860657,Enhancer_BCL11A,price_rl_local,2,161.76470588235293
1.0,,Enhancer_BCL11A,adalead,3,202.76470588235293
1.0,0.9999998211860657,Enhancer_BCL11A,price_rl_local,3,155.47058823529412
1.0,,Enhancer_BCL11A,adalead,4,203.47058823529412
1.0,0.9999997019767761,Enhancer_BCL11A,price_rl_local,4,176.94117647058823
0.9992879033088684,,GFP_Sarkisyan2016,adalead,0,0.0
1.0,0.9999995827674866,GFP_Sarkisyan2016,price_rl_local,0,0.1450676982591876
0.9836289286613464,,GFP_Sarkisyan2016,adalead,1,0.0
1.0,0.9999995827674866,GFP_Sarkisyan2016,price_rl_local,1,0.11992263056092843
1.0,,GFP_Sarkisyan2016,adalead,2,4.802707930367505
1.0,0.9999997615814209,GFP_Sarkisyan2016,price_rl_local,2,0.1276595744680851
0.9643059968948364,,GFP_Sarkisyan2016,adalead,3,0.0
1.0,0.9999996423721313,GFP_Sarkisyan2016,price_rl_local,3,0.10444874274661509
0.9636756777763367,,GFP_Sarkisyan2016,adalead,4,0.0
1.0,0.9999996423721313,GFP_Sarkisyan2016,price_rl_local,4,0.13346228239845262
1.0,,AAV_Sinai2021,adalead,0,5.094562647754137
1.0,0.9999995231628418,AAV_Sinai2021,price_rl_local,0,0.22458628841607564
1.0,,AAV_Sinai2021,adalead,1,3.858156028368794
1.0,0.9999977350234985,AAV_Sinai2021,price_rl_local,1,0.2718676122931442
1.0,,AAV_Sinai2021,adalead,2,0.03309692671394799
1.0,0.999999463558197,AAV_Sinai2021,price_rl_local,2,0.29550827423167847
1.0,,AAV_Sinai2021,adalead,3,3.631205673758865
1.0,0.999996542930603,AAV_Sinai2021,price_rl_local,3,0.0851063829787234
0.999505877494812,,AAV_Sinai2021,adalead,4,0.0
1.0,0.9999964833259583,AAV_Sinai2021,price_rl_local,4,0.13947990543735225
