best,cos_T1_min,method,seed,top_1pct
1.0,,random,0,0.024112525117213665
1.0,,pex,0,0.38780977896851976
1.0,,adalead,0,2.1359678499665105
1.0,0.0,price_rl,0,2.203616878767582
1.0,,price_rl_fixed,0,0.5351640991292699
1.0,,random,1,0.026121902210314803
1.0,,pex,1,0.3697253851306095
1.0,,adalead,1,2.089752176825184
1.0,0.0,price_rl,1,2.186202277294039
1.0,,price_rl_fixed,1,0.7602143335565975
1.0,,random,2,0.025452109845947757
1.0,,pex,2,0.3503014065639652
1.0,,adalead,2,2.0643000669792366
1.0,0.0,price_rl,2,2.336235766912257
1.0,,price_rl_fixed,2,0.9906229068988613
1.0,,random,3,0.034829202947086406
1.0,,pex,3,0.34695244474212994
1.0,,adalead,3,2.060281312793034
1.0,0.9999998807907104,price_rl,3,2.2384460817146685
1.0,,price_rl_fixed,3,0.45277963831212326
1.0,,random,4,0.033489618218352314
1.0,,pex,4,0.3034159410582719
1.0,,adalead,4,2.042866711319491
1.0,0.0,price_rl,4,2.204956463496316
1.0,,price_rl_fixed,4,1.0321500334896183
1.0,,random,5,0.024112525117213665
1.0,,pex,5,0.434695244474213
1.0,,adalead,5,2.158070997990623
1.0,0.0,price_rl,5,2.2444742129939717
1.0,,price_rl_fixed,5,0.8740790354989953
1.0,,random,6,0.03148024112525117
1.0,,pex,6,0.38379102478231747
1.0,,adalead,6,2.0904219691895514
1.0,0.0,price_rl,6,2.2973878097789684
1.0,,price_rl_fixed,6,0.7649028801071668
1.0,,random,7,0.02277294038847957
1.0,,pex,7,0.3415941058271936
1.0,,adalead,7,2.0971198928332218
1.0,0.0,price_rl,7,2.322170127260549
1.0,,price_rl_fixed,7,0.6349631614199598
1.0,,random,8,0.021433355659745478
1.0,,pex,8,0.3342263898191561
1.0,,adalead,8,2.042866711319491
1.0,0.0,price_rl,8,2.318821165438714
1.0,,price_rl_fixed,8,0.9651707970529136
1.0,,random,9,0.020763563295378432
1.0,,pex,9,0.347622237106497
1.0,,adalead,9,2.0549229738780976
1.0,0.0,price_rl,9,2.200937709310114
1.0,,price_rl_fixed,9,0.5894172806430007
