method,seed,best_fitness,mean_fitness,top_1pct,n_queries,cos_T1_min
random,0,1.0,0.03146188279899134,0.004018754186202277,500,1.0
adalead,0,1.0,0.6143295705991668,0.18754186202277295,500,1.0
pex,0,1.0,0.19273876085644984,0.041527126590756865,500,1.0
price_rl,0,1.0,0.6143278559858436,0.18486269256530474,500,0.9999998807907104
price_rl_fixed,0,1.0,0.045222912777541584,0.0053583389149363695,500,0.9999998807907104
random,1,1.0,0.03792758733791667,0.0053583389149363695,500,1.0
adalead,1,1.0,0.6298598277143734,0.18888144675150703,500,1.0
pex,1,1.0,0.1863382195442781,0.029470864032150032,500,1.0
price_rl,1,1.0,0.6232631441722021,0.1955793703951775,500,0.9999999403953552
price_rl_fixed,1,1.0,0.0464032107597872,0.004018754186202277,500,0.9999999403953552
random,2,1.0,0.0353040916546115,0.003348961821835231,500,1.0
adalead,2,1.0,0.6377031160418339,0.07300736771600803,500,1.0
pex,2,1.0,0.19799013366286214,0.030810448760884127,500,1.0
price_rl,2,1.0,0.5913044929932308,0.16141995981245813,500,0.9999998807907104
price_rl_fixed,2,1.0,0.0803179759515265,0.010716677829872739,500,0.9999998807907104
random,3,1.0,0.03468270344597198,0.003348961821835231,500,1.0
adalead,3,1.0,0.6447097522072422,0.1855324849296718,500,1.0
pex,3,1.0,0.18529963128020374,0.032150033489618215,500,1.0
price_rl,3,1.0,0.4695114846914637,0.0810448760884126,500,0.9999998211860657
price_rl_fixed,3,1.0,0.0579111119966521,0.004688546550569324,500,0.9999998211860657
random,4,1.0,0.03625120052934073,0.004018754186202277,500,1.0
adalead,4,1.0,0.5679662001318927,0.16945746818486268,500,1.0
pex,4,1.0,0.1417401732537862,0.020763563295378432,500,1.0
price_rl,4,1.0,0.6147140389121423,0.18352310783657066,500,0.9999999403953552
price_rl_fixed,4,1.0,0.05778573259665726,0.0053583389149363695,500,0.9999999403953552
