noise_std,seed,rho_alarm_round,final_rho,final_gap
0.0,0,0,0.6862325760263726,0.26071777429379395
0.0,1,0,0.5155374262006421,0.28006876144568205
0.0,2,0,0.5403816985709691,0.28531610183037925
0.0,3,0,0.601641053179189,0.2307244047472365
0.02,0,0,0.47613513992894985,0.2386021155060148
0.02,1,0,0.577901996815642,0.27019563446893413
0.02,2,0,0.6367580364741202,0.2964614241132236
0.02,3,0,0.5488049980850673,0.2270347337938351
0.05,0,0,0.7838407388341968,0.19203523616625662
0.05,1,0,0.6968058625862202,0.24257569538597068
0.05,2,0,0.5753450152828836,0.26338430459002615
0.05,3,0,0.6150313023401149,0.20287129159346484
0.1,0,0,1.0,0.16085760440512575
0.1,1,0,0.63494581513577,0.19963911000652423
0.1,2,0,0.7208624407148981,0.17086697376907267
0.1,3,0,0.7003454284124743,0.152336752509991
0.2,0,0,0.71877941609232,0.07344603618028811
0.2,1,0,0.7318952878091545,0.10170182446189624
0.2,2,0,0.9584132742562756,0.1296274956457808
0.2,3,0,0.8145083407733668,0.10978818329278045
0.4,0,0,1.0,-0.022118871402681484
0.4,1,0,0.7762290507102803,0.11569706162613769
0.4,2,0,0.899589773209867,0.061222643477958805
0.4,3,0,0.6958159989985074,0.09852261743049562
