K,seed,L_analytic,best_price_rl,best_random,best_adalead,best_fixed,mean_rho,cos_T1_min
0,0,40.0,0.8425364897147889,0.6693248951753745,0.778825645813174,0.8019585020026053,0.6490252492303281,0.9999998211860657
0,1,40.0,0.7992421816560615,0.6582102943667686,0.772377704178998,0.7726349798536274,0.643621910900714,0.9999998211860657
0,2,40.0,0.793630852083423,0.6081245754073878,0.7480937114722052,0.7753182414850913,0.6654841342420692,0.9999998807907104
0,3,40.0,0.8238741709607973,0.6396126489192612,0.7957161083108225,0.7820133650278696,0.5922328944079794,0.9999998211860657
0,4,40.0,0.7889272167208825,0.5897843705510016,0.7455399978069239,0.7642058610250768,0.6124993288780867,0.9999998211860657
0,5,40.0,0.7877386209863023,0.6280985567562677,0.7593933867950686,0.7650522415720662,0.6146552714564729,0.9999998807907104
0,6,40.0,0.792654702902255,0.6205755015609029,0.755153134428213,0.7562572439259265,0.6224712295036672,0.9999998807907104
0,7,40.0,0.8063473456810364,0.6123127467820854,0.7518132119748004,0.7738797157464163,0.5847883549459876,0.9999998807907104
0,8,40.0,0.7823245629427752,0.6159605266637812,0.7666028382826191,0.7442606629383038,0.6203464585868022,0.9999998807907104
0,9,40.0,0.8523165494143956,0.679339294433223,0.8258275937879823,0.8129479750942188,0.5933659158231086,0.9999998807907104
1,0,20.0,0.8455411414457169,0.6395999461664612,0.7360766929512543,0.739253914397625,0.6874478604104337,0.9999997615814209
1,1,20.0,0.8115529634885983,0.6477530262788813,0.7952165617538138,0.7249552247246932,0.6905722768801152,0.9999998807907104
1,2,20.0,0.8393634888249044,0.6326260398787962,0.8283853231914362,0.7279445832683035,0.7183141981599869,0.9999998807907104
1,3,20.0,0.8151724511269162,0.6618079281410538,0.7767486693966564,0.7168488606989306,0.6367476431677955,0.9999998807907104
1,4,20.0,0.8430372680482048,0.6507482412616572,0.7939002433576714,0.7263901181267409,0.6788363805321228,0.9999998807907104
1,5,20.0,0.7993484247667866,0.6306065408367159,0.8074054682569936,0.7406900475863931,0.69039163509918,0.9999998807907104
1,6,20.0,0.8377854567369962,0.6522467155865127,0.7532213353259586,0.7494229074229742,0.7032154365704514,0.9999998211860657
1,7,20.0,0.8387244180491737,0.642733495866956,0.8007859744918056,0.7679515868096735,0.6902404090664894,0.9999998211860657
1,8,20.0,0.7982976278976295,0.6513650292514839,0.7490576936021242,0.7443550017410606,0.6435150951403198,0.9999998807907104
1,9,20.0,0.8228024982982147,0.6358591333387196,0.7689885636801517,0.7475880978639502,0.6451151329663248,0.9999998211860657
3,0,10.0,0.8266195467621446,0.6702021439984508,0.79955117981581,0.6529284896207893,0.719252589327518,0.9999998807907104
3,1,10.0,0.8061365907682951,0.6473717711993816,0.7789284367683925,0.6366124488250009,0.6471079061742554,0.9999998807907104
3,2,10.0,0.7478947676341579,0.6554587484327292,0.7629948372793119,0.6852830438587818,0.717170278654249,0.9999997615814209
3,3,10.0,0.7725117441766477,0.6263568830188263,0.8078593888729035,0.6690448354174735,0.7253601008805386,0.9999998211860657
3,4,10.0,0.7811243509505787,0.6450311369952935,0.7505715298206768,0.6472940406684085,0.7118847147934901,0.9999997615814209
3,5,10.0,0.7868333819475974,0.6912649684881039,0.755741029102436,0.6302098763446241,0.6937878760321168,0.9999998807907104
3,6,10.0,0.7943221550499651,0.6364755212861484,0.8010295096857651,0.6502913508144887,0.6691645494005954,0.9999998807907104
3,7,10.0,0.7841866798925683,0.6635173735827842,0.7524725054088061,0.634886473981243,0.6818733643611091,0.9999998807907104
3,8,10.0,0.765489966235779,0.643895615675587,0.7869895937397466,0.6547258025134303,0.7251723440314456,0.9999997615814209
3,9,10.0,0.764605443960051,0.6497862063415104,0.7777658600452373,0.6554212680889466,0.7076426382288699,0.9999998807907104
5,0,6.666666666666667,0.7863414475929803,0.6346976668148889,0.7874900928590866,0.645643080397239,0.7404960816875014,0.9999998211860657
5,1,6.666666666666667,0.7798557263555089,0.6378528537758412,0.790535069702466,0.6438435210036996,0.7610590640238594,0.9999998807907104
5,2,6.666666666666667,0.7470159285277679,0.648932119045259,0.7673353488859582,0.6338396471264328,0.7604280336368082,0.9999998807907104
5,3,6.666666666666667,0.7559785766162739,0.6754486317750804,0.7564579371492136,0.6352835033503348,0.7170773277049596,0.9999998211860657
5,4,6.666666666666667,0.7270262648606215,0.6426997224182712,0.8029497805742718,0.65949263361834,0.7261384881096311,0.9999998807907104
5,5,6.666666666666667,0.7563381376862504,0.6445858695456781,0.7726736513169273,0.6613521738905108,0.7059390511405959,0.9999998807907104
5,6,6.666666666666667,0.7397893504545396,0.7034002472645448,0.7367148711870493,0.6667609622430458,0.705452844457662,0.9999998807907104
5,7,6.666666666666667,0.7389544961006583,0.6322012803958733,0.7649150353915586,0.6476754308325201,0.7165059737937108,0.9999998807907104
5,8,6.666666666666667,0.7343835339815469,0.6498066730344718,0.7721866190121839,0.653743246657781,0.677902803717983,0.9999997615814209
5,9,6.666666666666667,0.7725061693405884,0.6386579027091599,0.7618683651729252,0.635442633670595,0.7229850476054704,0.9999998211860657
8,0,4.444444444444445,0.7498444848521049,0.645284287563779,0.7572575634998117,0.6599827606504804,0.8057716540933093,0.9999998211860657
8,1,4.444444444444445,0.7163093032926491,0.6347808503629828,0.7462934828173637,0.6682623503539149,0.7489128321488864,0.9999998807907104
8,2,4.444444444444445,0.7176694251494842,0.6280787974600457,0.7492568657327178,0.6976328333451478,0.7613654919079325,0.9999998211860657
8,3,4.444444444444445,0.714425170356674,0.6592721775480557,0.724905244468447,0.6848298046322283,0.7375751740857212,0.9999998211860657
8,4,4.444444444444445,0.7002308772226007,0.6606655681723771,0.77333555478982,0.6497268873266464,0.7670266612031802,0.9999998807907104
8,5,4.444444444444445,0.6905938640541966,0.64758957281149,0.7487284846998568,0.6510652199052269,0.767968768866125,0.9999998211860657
8,6,4.444444444444445,0.752573216156577,0.6505157334657323,0.7388042334837428,0.6512186553366281,0.7420895290929928,0.9999998807907104
8,7,4.444444444444445,0.7169623392093659,0.6479443160584359,0.7433049412973594,0.6415531225012655,0.8061358879395636,0.9999998807907104
8,8,4.444444444444445,0.721766870703574,0.6767725486331807,0.7385283247167413,0.6642638068675243,0.6839969717193125,0.9999998807907104
8,9,4.444444444444445,0.7672336417503457,0.6354711060518962,0.7435721392840101,0.6367050802497515,0.7192593065002382,0.9999998211860657
12,0,3.076923076923077,0.6870499089340425,0.6411699701171389,0.7462398666033364,0.6429349607998258,0.7824253344300842,0.9999997615814209
12,1,3.076923076923077,0.6972913805537084,0.6594527729515124,0.7428214220628666,0.6540157944270901,0.762244044149923,0.9999998807907104
12,2,3.076923076923077,0.6857068821234912,0.6698711361153027,0.7154824255546713,0.6722434064615795,0.7470168690543268,0.9999998211860657
12,3,3.076923076923077,0.6628211602346874,0.6482050107643399,0.7562674271349756,0.6418389709900357,0.7536415254248825,0.9999998211860657
12,4,3.076923076923077,0.7009361561718264,0.6252822845640094,0.7222332357341659,0.6544915662735031,0.7599505886575842,0.9999997615814209
12,5,3.076923076923077,0.6977967259131209,0.6461485270803721,0.7226826016817246,0.671980996590069,0.7460941796698742,0.9999998211860657
12,6,3.076923076923077,0.6653418299799504,0.656629977700878,0.721358709860765,0.6591754761057855,0.7756949313026242,0.9999998807907104
12,7,3.076923076923077,0.7004665330515314,0.646778989876202,0.7105714689760669,0.6590837092315204,0.7752357063696614,0.9999998807907104
12,8,3.076923076923077,0.6711194036848986,0.6425861764341576,0.724997193684062,0.6491926260739597,0.7239825922955597,0.9999998807907104
12,9,3.076923076923077,0.7112264047304978,0.6622346647891948,0.6975537973533916,0.6791624032634609,0.7513182631735359,0.9999998807907104
18,0,2.1052631578947367,0.6412102844384339,0.6264300458656326,0.7159027466043433,0.6365631375550366,0.8001556493306591,0.9999998807907104
18,1,2.1052631578947367,0.6460800108018481,0.6338651487857997,0.704771949486868,0.6398992280429342,0.7944066259691894,0.9999998211860657
18,2,2.1052631578947367,0.6580126685093097,0.7094485530897048,0.6804915579349234,0.6265398631699826,0.823723778813567,0.9999998807907104
18,3,2.1052631578947367,0.6475464714470553,0.660264220217352,0.7093007895366018,0.6255864805318055,0.7979435697315341,0.9999997615814209
18,4,2.1052631578947367,0.6620147646286829,0.6308489800967271,0.7113250248383615,0.6383391524985862,0.7665351674633369,0.9999998807907104
18,5,2.1052631578947367,0.651774121114484,0.6402980571641828,0.7006147233951024,0.6316101271973469,0.7795771500052996,0.9999998807907104
18,6,2.1052631578947367,0.6304126421214702,0.6591996756506301,0.7175153417348012,0.6613169424227001,0.778560346344731,0.9999998211860657
18,7,2.1052631578947367,0.6755430498318947,0.6490269590121631,0.7010577912227047,0.6532232761834524,0.7939151267383149,0.9999998807907104
18,8,2.1052631578947367,0.66295982739138,0.6461593463550049,0.6759515852739792,0.6529594450973324,0.7359977384443638,0.9999998807907104
18,9,2.1052631578947367,0.6583440187315769,0.6253588908405162,0.6616539075276595,0.6446740309359281,0.8229188250272077,0.9999997615814209
25,0,1.5384615384615385,0.6479968492036325,0.6669193579604051,0.653410963896488,0.6562899831495133,0.8111383738522139,0.9999998211860657
25,1,1.5384615384615385,0.6672473363152508,0.6718873276297276,0.6753206966674632,0.644795507482746,0.7995424602642862,0.9999998807907104
25,2,1.5384615384615385,0.667279762144069,0.6354873300390718,0.6680231409787396,0.6335522012811524,0.7982156604403084,0.9999998807907104
25,3,1.5384615384615385,0.6435139350830037,0.6406563498551959,0.6852625635985976,0.6419026234626197,0.8096347578477717,0.9999999403953552
25,4,1.5384615384615385,0.6391987289222668,0.6456597608667141,0.6676660167747903,0.6473616656538116,0.7642424207816235,0.9999998807907104
25,5,1.5384615384615385,0.6911803579656005,0.652053708388328,0.6728691295872549,0.644260046397857,0.7631563321478603,0.9999997615814209
25,6,1.5384615384615385,0.6232826676821043,0.6463854878132748,0.6467485778005193,0.6646703738244533,0.7998417779579092,0.9999998807907104
25,7,1.5384615384615385,0.6374738336322082,0.6353878079725921,0.6654762040499511,0.6404533653807191,0.7774237134412858,0.9999998807907104
25,8,1.5384615384615385,0.6363596310785831,0.6445967127723709,0.6624542134776032,0.6532378385616815,0.8138226592160722,0.9999998807907104
25,9,1.5384615384615385,0.6431111427157087,0.6409066521274529,0.673742135549703,0.650907135881865,0.7745646866311997,0.9999998807907104
32,0,1.2121212121212122,0.6521029966523639,0.6337352748490438,0.6441442628854355,0.6433158394015938,0.8073483330657664,0.9999998807907104
32,1,1.2121212121212122,0.6448721111434252,0.6273351824810516,0.6884559840434317,0.665359132213858,0.7810828278722325,0.9999998211860657
32,2,1.2121212121212122,0.6519961205154069,0.640915702057989,0.6559080450628472,0.6497459398811923,0.7704930090872286,0.9999999403953552
32,3,1.2121212121212122,0.6349805953688439,0.6508146302054875,0.6522958312035152,0.6686430455562486,0.7952116521379426,0.9999998807907104
32,4,1.2121212121212122,0.6455483844442182,0.675365073739714,0.6872008882921409,0.646034049731696,0.8126144081549556,0.9999998807907104
32,5,1.2121212121212122,0.6543774722934547,0.647936799181078,0.647936799181078,0.660744460574006,0.7725916674689348,0.9999998211860657
32,6,1.2121212121212122,0.6640278570533509,0.6376096266807126,0.6362566022830113,0.6456731616125634,0.7831383838700837,0.9999998807907104
32,7,1.2121212121212122,0.6571041130625004,0.6507590098924115,0.6396266509192441,0.6769470113420921,0.7808252770568916,0.9999998211860657
32,8,1.2121212121212122,0.6366296714869649,0.6798172834674394,0.6880562237835568,0.664077728616594,0.7858162506606691,0.9999998211860657
32,9,1.2121212121212122,0.6366482045550714,0.6581639121277112,0.6541799723192269,0.6205986139200896,0.7802223838804906,0.9999998807907104
39,0,1.0,0.656946555430383,0.6370473474614702,0.661913225131839,0.6945492592978947,0.7991903327203691,0.9999998807907104
39,1,1.0,0.6497597919814638,0.660182396884818,0.6471867676929064,0.6344285974587566,0.786491420975534,0.9999998211860657
39,2,1.0,0.6240531718349996,0.6418303815483604,0.6369339256565058,0.6460547957998182,0.7924694287978016,0.9999998807907104
39,3,1.0,0.6481018307463489,0.64691574663638,0.6540848418737064,0.6515450916018902,0.778008041541011,0.9999997615814209
39,4,1.0,0.6762669215382288,0.6385482890624271,0.6346082454308621,0.6297592924450246,0.7703594492388585,0.9999998807907104
39,5,1.0,0.6373136260689855,0.6777979378750774,0.6531148382643114,0.6618307317800064,0.8412930324327433,0.9999998807907104
39,6,1.0,0.6805874896414321,0.6300610247585299,0.666613708488083,0.64144720897365,0.7646609209718566,0.9999998211860657
39,7,1.0,0.6407460100436124,0.6396419768851931,0.6646522983881474,0.6473618410259981,0.7805793596988213,0.9999999403953552
39,8,1.0,0.6588836443901805,0.6394448226599123,0.6459424157853322,0.6949947950372748,0.7993879232718153,0.9999998211860657
39,9,1.0,0.6693501362669614,0.6677223883227275,0.641389303314291,0.6533077038897652,0.769213127439916,0.9999998807907104
