seed,target,cold,full,selection,best_cold,best_full,best_sel
0,BLAT_Deng2012,0.0,0.0,0.0,0.8189728322264866,0.8189728322264866,0.8189728322264866
0,BLAT_Firnberg2014,1.3404255319148937,0.0,0.0425531914893617,1.0,0.8766412725420535,1.0
0,BLAT_Jacquier2013,0.2222222222222222,0.3333333333333333,0.4444444444444444,1.0,1.0,1.0
1,BLAT_Deng2012,0.0,0.0,0.0,0.8709100377573094,0.5785698908531779,0.8189728322264866
1,BLAT_Firnberg2014,1.3829787234042554,0.0,0.44680851063829785,1.0,0.7919805515017164,1.0
1,BLAT_Jacquier2013,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,1.0,1.0
2,BLAT_Deng2012,0.0,0.0,0.0,0.8559629433852882,0.5785698908531779,0.8189728322264866
2,BLAT_Firnberg2014,0.0851063829787234,0.0,0.0,1.0,0.7919805515017164,0.8766412725420535
2,BLAT_Jacquier2013,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.0,1.0,1.0
3,BLAT_Deng2012,0.0,0.0,0.0,0.8916512154691353,0.5785698908531779,0.8189728322264866
3,BLAT_Firnberg2014,1.851063829787234,0.0,0.0425531914893617,1.0,0.7919805515017164,1.0
3,BLAT_Jacquier2013,0.2222222222222222,0.0,0.0,1.0,0.9713725989102969,0.9141177972461841
4,BLAT_Deng2012,0.0,0.0,0.0,0.8189728322264866,0.6353851083815102,0.8189728322264866
4,BLAT_Firnberg2014,1.4042553191489362,0.0,0.0,1.0,0.8678783932357081,0.8766412725420535
4,BLAT_Jacquier2013,0.2222222222222222,2.6666666666666665,0.4444444444444444,1.0,1.0,1.0
