policy_class,inject,gain,K,seed,tight_05,tight_10,mean_err_late,best,cos_T1_min,mean_rho
factorised,False,0.0,0,0,0.0,0.16666666666666666,0.2574578626730288,0.8046044441036404,0.9999998807907104,0.5707509585243571
factorised,False,0.0,0,1,0.3333333333333333,0.3333333333333333,0.15084784994171316,0.8306482644136335,0.9999998807907104,0.5478618163541277
factorised,False,0.0,0,2,0.0,0.0,0.3279136282634641,0.8109539333451311,0.9999998807907104,0.6415204819110228
factorised,False,0.0,0,3,0.3333333333333333,0.3333333333333333,0.258133516965329,0.8018577652725138,0.9999998807907104,0.6146750330647195
factorised,False,0.0,0,4,0.16666666666666666,0.16666666666666666,0.21794335816484547,0.7402642258008608,0.9999998807907104,0.5925362857240921
factorised,False,0.0,3,0,0.3333333333333333,0.5,0.10314527176653505,0.7769431152590878,0.9999999403953552,0.6730625641602603
factorised,False,0.0,3,1,0.3333333333333333,0.3333333333333333,0.17775115060028282,0.7784232357222177,0.9999998807907104,0.7003784672491595
factorised,False,0.0,3,2,0.16666666666666666,0.3333333333333333,0.2162950746423904,0.7844193391194217,0.9999998211860657,0.7537853188951087
factorised,False,0.0,3,3,0.0,0.0,0.3172450997035708,0.7749746009443996,0.9999998807907104,0.637255659879773
factorised,False,0.0,3,4,0.3333333333333333,0.3333333333333333,0.1424624221735095,0.7670932880337402,0.9999998807907104,0.6827211344852956
factorised,False,0.0,5,0,0.3333333333333333,0.6666666666666666,0.14916198543982587,0.7657210090599846,0.9999999403953552,0.7058004447455157
factorised,False,0.0,5,1,0.16666666666666666,0.3333333333333333,0.1419463339684173,0.7498729535416897,0.9999998807907104,0.6883578982675181
factorised,False,0.0,5,2,0.16666666666666666,0.3333333333333333,0.17127040102513935,0.7702027762697387,0.9999998807907104,0.714519461243167
factorised,False,0.0,5,3,0.3333333333333333,0.3333333333333333,0.2586836047233957,0.7742074976924687,0.9999998807907104,0.71048261689098
factorised,False,0.0,5,4,0.0,0.16666666666666666,0.19160202166822696,0.710743962698921,0.9999998807907104,0.7432799404182773
factorised,False,0.0,10,0,0.0,0.3333333333333333,0.20504837516721672,0.7466454698210037,0.9999998211860657,0.7230954588115174
factorised,False,0.0,10,1,0.0,0.16666666666666666,0.16820616561708646,0.6997574949159682,0.9999999403953552,0.7798961731208031
factorised,False,0.0,10,2,0.0,0.0,0.37309468884890146,0.6801444755947197,0.9999997615814209,0.7966299627312868
factorised,False,0.0,10,3,0.0,0.0,0.25598785889320874,0.7125672333863713,0.9999999403953552,0.7435170790775032
factorised,False,0.0,10,4,0.0,0.16666666666666666,0.33119901114726324,0.7160179437490026,0.9999998807907104,0.7234153794274558
factorised,False,0.0,15,0,0.0,0.0,0.41657170091866685,0.7082958220941685,0.9999998807907104,0.7705778251295302
factorised,False,0.0,15,1,0.0,0.0,0.36873523627399973,0.6855210941641192,0.9999997615814209,0.7914804792866323
factorised,False,0.0,15,2,0.16666666666666666,0.16666666666666666,0.37273190512921417,0.7034036682539799,0.9999998211860657,0.7808159656311389
factorised,False,0.0,15,3,0.0,0.0,0.3757035933959594,0.7049778000830902,0.9999998807907104,0.7850730350243681
factorised,False,0.0,15,4,0.0,0.0,0.5214501603844917,0.7411414373531888,0.9999997615814209,0.7803594747617684
factorised,False,0.0,19,0,0.3333333333333333,0.3333333333333333,0.31027011426820256,0.6911290541989087,0.9999998211860657,0.7801046475688843
factorised,False,0.0,19,1,0.0,0.0,0.5648748970339011,0.718121709389429,0.9999998807907104,0.8538979145880023
factorised,False,0.0,19,2,0.0,0.0,0.3761928561668542,0.7622837999721248,0.9999999403953552,0.8044358153189279
factorised,False,0.0,19,3,0.0,0.0,0.5004912764038018,0.7175450784265794,0.9999998807907104,0.8328944941367868
factorised,False,0.0,19,4,0.0,0.0,0.4743180928011746,0.6905039878556569,0.9999998807907104,0.7921416257304429
factorised,True,0.4,0,0,0.0,0.3333333333333333,0.17272762250881635,0.8046044441036404,0.9999998807907104,0.6226986722151079
factorised,True,0.4,0,1,0.0,0.3333333333333333,0.18476069440049026,0.8304146174391622,0.9999998807907104,0.5390013739160717
factorised,True,0.4,0,2,0.0,0.0,0.3374813217579585,0.8109539333451311,0.9999998807907104,0.6605107362418291
factorised,True,0.4,0,3,0.0,0.0,0.3457137413415852,0.8005458669736962,0.9999998807907104,0.6663059325297698
factorised,True,0.4,0,4,0.16666666666666666,0.16666666666666666,0.1757871638514719,0.7402642258008608,0.9999998807907104,0.5905389789580687
factorised,True,0.4,3,0,0.3333333333333333,0.5,0.1656635763949579,0.802630981055121,0.9999998807907104,0.740386019865473
factorised,True,0.4,3,1,0.3333333333333333,0.5,0.11947941389081229,0.7627112079765166,0.9999998807907104,0.6945520924420486
factorised,True,0.4,3,2,0.3333333333333333,0.3333333333333333,0.21228433461861843,0.823955818324046,0.9999998211860657,0.7821028701335866
factorised,True,0.4,3,3,0.3333333333333333,0.5,0.15581069268738845,0.814386667679007,0.9999998807907104,0.7810633645523933
factorised,True,0.4,3,4,0.6666666666666666,1.0,0.040166028889888634,0.7671442609718473,0.9999998807907104,0.6680758648470995
factorised,True,0.4,5,0,0.0,0.0,0.35487762272263357,0.7171760275913743,0.9999999403953552,0.8193221404432193
factorised,True,0.4,5,1,0.0,0.0,0.4136810498305455,0.7497358638795947,0.9999998807907104,0.8539697877185547
factorised,True,0.4,5,2,0.0,0.16666666666666666,0.36450541106620005,0.7037825435571299,0.9999998807907104,0.7737577865408091
factorised,True,0.4,5,3,0.0,0.16666666666666666,0.14710200340030066,0.7718559871408353,0.9999998807907104,0.8402780915276774
factorised,True,0.4,5,4,0.16666666666666666,0.16666666666666666,0.44217324770363153,0.7012022103592086,0.9999998807907104,0.8115678340058647
factorised,True,0.4,10,0,0.0,0.0,0.31049856175896323,0.7001607847813249,0.9999998807907104,0.749846969471143
factorised,True,0.4,10,1,0.16666666666666666,0.16666666666666666,0.2766284688002001,0.6975809105635802,0.9999998807907104,0.8324711980295202
factorised,True,0.4,10,2,0.0,0.0,0.4929516724870835,0.6916527520041755,0.9999998807907104,0.7361227927288762
factorised,True,0.4,10,3,0.0,0.0,0.45719899751119275,0.6943994546921222,0.9999998807907104,0.865677443420823
factorised,True,0.4,10,4,0.0,0.0,0.37343810781310544,0.6994735272635102,0.9999998807907104,0.7906086612157867
factorised,True,0.4,15,0,0.16666666666666666,0.3333333333333333,0.2799937983679919,0.6960672578735441,0.9999997615814209,0.7362597935159173
factorised,True,0.4,15,1,0.0,0.0,0.32206934253870506,0.6746640005683239,0.9999997615814209,0.7739595359362234
factorised,True,0.4,15,2,0.0,0.16666666666666666,0.23542436480965093,0.7123484949348919,0.9999998211860657,0.7374016151675357
factorised,True,0.4,15,3,0.0,0.0,0.3604738818335278,0.7330406781693245,0.9999999403953552,0.8295749544949413
factorised,True,0.4,15,4,0.0,0.16666666666666666,0.29307169444119197,0.6898697987305733,0.9999998807907104,0.7981797203308986
factorised,True,0.4,19,0,0.0,0.16666666666666666,0.4547793045000396,0.7047163935797213,0.9999998807907104,0.7855192681956105
factorised,True,0.4,19,1,0.16666666666666666,0.16666666666666666,0.4173492059896918,0.6695575506312444,0.9999999403953552,0.791173129095096
factorised,True,0.4,19,2,0.0,0.0,0.4199541956677446,0.6883144312641993,0.9999998807907104,0.7914799097144383
factorised,True,0.4,19,3,0.0,0.0,0.5356347098144099,0.6764227607067437,0.9999998211860657,0.8410146787627497
factorised,True,0.4,19,4,0.0,0.16666666666666666,0.35755918326607494,0.6749833684624456,0.9999998211860657,0.8027539801596582
ar,False,0.0,0,0,0.3333333333333333,0.8333333333333334,0.06307869916823937,0.6562525810705834,1.0,0.5415106864743666
ar,False,0.0,0,1,0.16666666666666666,0.3333333333333333,0.1341559519235134,0.7106215385284538,1.0,0.5653078397349391
ar,False,0.0,0,2,0.5,0.8333333333333334,0.0969787622711158,0.6741233486200852,1.0,0.56993755968648
ar,False,0.0,0,3,0.0,0.16666666666666666,0.22792515698071306,0.6809702397430011,0.9999998807907104,0.6073971982670163
ar,False,0.0,0,4,0.0,0.0,0.40936253855863525,0.5861452425749053,1.0000001192092896,0.8588243698563182
ar,False,0.0,3,0,0.0,0.0,0.37660963588264634,0.6700487292244761,1.0,0.725860242132244
ar,False,0.0,3,1,0.0,0.0,0.21826111285185554,0.6492675332536941,0.9999999403953552,0.5569136260762053
ar,False,0.0,3,2,0.16666666666666666,0.16666666666666666,0.1868390456911766,0.6634919334754671,0.9999998807907104,0.52560699796454
ar,False,0.0,3,3,0.16666666666666666,0.5,0.13045135875178246,0.713785479755255,1.0,0.5533789027686153
ar,False,0.0,3,4,0.3333333333333333,0.3333333333333333,0.19388482475334867,0.6515302061738476,0.9999997019767761,0.6148822426555164
ar,False,0.0,5,0,0.16666666666666666,0.3333333333333333,0.14300935021290428,0.678755888837611,1.0,0.5117071328180988
ar,False,0.0,5,1,0.16666666666666666,0.3333333333333333,0.18437215062691356,0.6214822054322259,1.0,0.5413999141559653
ar,False,0.0,5,2,0.0,0.16666666666666666,0.23330114089351076,0.6974933207085054,0.9999998807907104,0.49253977404560345
ar,False,0.0,5,3,0.16666666666666666,0.16666666666666666,0.17641633847796892,0.6516750348517579,0.9999999403953552,0.5141964592687661
ar,False,0.0,5,4,0.0,0.0,0.375056163853708,0.7076257688857741,0.9999998807907104,0.8536235233103716
ar,False,0.0,10,0,0.0,0.0,0.7641087693512358,0.6646930532875103,1.0000001192092896,0.9022597065114669
ar,False,0.0,10,1,0.0,0.16666666666666666,0.18178436439418677,0.6508447090366969,0.9999999403953552,0.5836312328004214
ar,False,0.0,10,2,0.0,0.0,0.19744412469988395,0.6524832500454322,1.0,0.5
ar,False,0.0,10,3,0.0,0.0,0.38104113832955416,0.6875713071465098,1.0000001192092896,0.9363854127160252
ar,False,0.0,10,4,0.0,0.16666666666666666,0.182929541360728,0.6644723475859987,0.9999998807907104,0.576381182383426
ar,False,0.0,15,0,0.0,0.0,0.4521635984890242,0.673019248761064,1.0,0.8991390920534225
ar,False,0.0,15,1,0.0,0.0,0.6775614196313186,0.6344621449308872,0.9999998807907104,0.8462870709656003
ar,False,0.0,15,2,0.0,0.16666666666666666,0.25988728231384267,0.6583051187717146,1.0,0.47150381154950144
ar,False,0.0,15,3,0.0,0.0,0.2392790699065146,0.650636712657492,1.0,0.574460314810684
ar,False,0.0,15,4,0.0,0.0,0.6227545907461138,0.6636027474398013,1.0000001192092896,0.9106840109379064
ar,False,0.0,19,0,0.16666666666666666,0.16666666666666666,0.14178056051978236,0.6367583697796532,0.9999999403953552,0.43330709974834414
ar,False,0.0,19,1,0.16666666666666666,0.5,0.10882582780118132,0.6541930916713599,0.9999998211860657,0.5997917231299081
ar,False,0.0,19,2,0.3333333333333333,0.5,0.09914286570952556,0.7065152685922246,1.0,0.6850548790852858
ar,False,0.0,19,3,0.0,0.3333333333333333,0.223825535583552,0.6953828500038044,0.9999998211860657,0.5143339341740741
ar,False,0.0,19,4,0.0,0.0,0.5024720278222348,0.6909190200665013,0.9999999403953552,0.9595517243006367
ar,True,0.4,0,0,0.3333333333333333,0.8333333333333334,0.06307869916823937,0.6562525810705834,1.0,0.5415106864743666
ar,True,0.4,0,1,0.16666666666666666,0.3333333333333333,0.1341559519235134,0.7106215385284538,1.0,0.5653078397349391
ar,True,0.4,0,2,0.5,0.8333333333333334,0.0969787622711158,0.6741233486200852,1.0,0.56993755968648
ar,True,0.4,0,3,0.0,0.16666666666666666,0.22792515698071306,0.6809702397430011,0.9999998807907104,0.6073971982670163
ar,True,0.4,0,4,0.0,0.0,0.40936253855863525,0.5861452425749053,1.0000001192092896,0.8588243698563182
ar,True,0.4,3,0,0.0,0.0,0.37660963588264634,0.6700487292244761,1.0,0.725860242132244
ar,True,0.4,3,1,0.0,0.0,0.21826111285185554,0.6492675332536941,0.9999999403953552,0.5569136260762053
ar,True,0.4,3,2,0.16666666666666666,0.16666666666666666,0.1868390456911766,0.6634919334754671,0.9999998807907104,0.52560699796454
ar,True,0.4,3,3,0.16666666666666666,0.5,0.13045135875178246,0.713785479755255,1.0,0.5533789027686153
ar,True,0.4,3,4,0.3333333333333333,0.3333333333333333,0.19388482475334867,0.6515302061738476,0.9999997019767761,0.6148822426555164
ar,True,0.4,5,0,0.16666666666666666,0.3333333333333333,0.14300935021290428,0.678755888837611,1.0,0.5117071328180988
ar,True,0.4,5,1,0.16666666666666666,0.3333333333333333,0.18437215062691356,0.6214822054322259,1.0,0.5413999141559653
ar,True,0.4,5,2,0.0,0.16666666666666666,0.23330114089351076,0.6974933207085054,0.9999998807907104,0.49253977404560345
ar,True,0.4,5,3,0.16666666666666666,0.16666666666666666,0.17641633847796892,0.6516750348517579,0.9999999403953552,0.5141964592687661
ar,True,0.4,5,4,0.0,0.0,0.375056163853708,0.7076257688857741,0.9999998807907104,0.8536235233103716
ar,True,0.4,10,0,0.0,0.0,0.7641087693512358,0.6646930532875103,1.0000001192092896,0.9022597065114669
ar,True,0.4,10,1,0.0,0.16666666666666666,0.18178436439418677,0.6508447090366969,0.9999999403953552,0.5836312328004214
ar,True,0.4,10,2,0.0,0.0,0.19744412469988395,0.6524832500454322,1.0,0.5
ar,True,0.4,10,3,0.0,0.0,0.38104113832955416,0.6875713071465098,1.0000001192092896,0.9363854127160252
ar,True,0.4,10,4,0.0,0.16666666666666666,0.182929541360728,0.6644723475859987,0.9999998807907104,0.576381182383426
ar,True,0.4,15,0,0.0,0.0,0.4521635984890242,0.673019248761064,1.0,0.8991390920534225
ar,True,0.4,15,1,0.0,0.0,0.6775614196313186,0.6344621449308872,0.9999998807907104,0.8462870709656003
ar,True,0.4,15,2,0.0,0.16666666666666666,0.25988728231384267,0.6583051187717146,1.0,0.47150381154950144
ar,True,0.4,15,3,0.0,0.0,0.2392790699065146,0.650636712657492,1.0,0.574460314810684
ar,True,0.4,15,4,0.0,0.0,0.6227545907461138,0.6636027474398013,1.0000001192092896,0.9106840109379064
ar,True,0.4,19,0,0.16666666666666666,0.16666666666666666,0.14178056051978236,0.6367583697796532,0.9999999403953552,0.43330709974834414
ar,True,0.4,19,1,0.16666666666666666,0.5,0.10882582780118132,0.6541930916713599,0.9999998211860657,0.5997917231299081
ar,True,0.4,19,2,0.3333333333333333,0.5,0.09914286570952556,0.7065152685922246,1.0,0.6850548790852858
ar,True,0.4,19,3,0.0,0.3333333333333333,0.223825535583552,0.6953828500038044,0.9999998211860657,0.5143339341740741
ar,True,0.4,19,4,0.0,0.0,0.5024720278222348,0.6909190200665013,0.9999999403953552,0.9595517243006367
